Zipcode,State,LocationType,Lat,Long
07675,NJ,PRIMARY,40.98,-74.03
07677,NJ,PRIMARY,41.02,-74.05
07885,NJ,PRIMARY,40.89,-74.58
07981,NJ,PRIMARY,40.82,-74.41
07999,NJ,PRIMARY,40.82,-74.41
08888,NJ,PRIMARY,40.62,-74.76
08889,NJ,PRIMARY,40.6,-74.76
07095,NJ,PRIMARY,40.55,-74.28
07481,NJ,PRIMARY,40.99,-74.16
10451,NY,PRIMARY,40.84,-73.87
10452,NY,PRIMARY,40.84,-73.87
10453,NY,PRIMARY,40.84,-73.87
10454,NY,PRIMARY,40.84,-73.87
10455,NY,PRIMARY,40.84,-73.87
10456,NY,PRIMARY,40.84,-73.87
10457,NY,PRIMARY,40.84,-73.87
10458,NY,PRIMARY,40.84,-73.87
10459,NY,PRIMARY,40.84,-73.87
10460,NY,PRIMARY,40.84,-73.87
10461,NY,PRIMARY,40.84,-73.87
10462,NY,PRIMARY,40.84,-73.87
10463,NY,PRIMARY,40.84,-73.87
10464,NY,PRIMARY,40.84,-73.87
10465,NY,PRIMARY,40.84,-73.87
10466,NY,PRIMARY,40.84,-73.87
10467,NY,PRIMARY,40.84,-73.87
10468,NY,PRIMARY,40.84,-73.87
10469,NY,PRIMARY,40.84,-73.87
10470,NY,PRIMARY,40.84,-73.87
10471,NY,PRIMARY,40.84,-73.87
10472,NY,PRIMARY,40.84,-73.87
10473,NY,PRIMARY,40.84,-73.87
10474,NY,PRIMARY,40.84,-73.87
10475,NY,PRIMARY,40.84,-73.87
10499,NY,PRIMARY,40.84,-73.87
10001,NY,PRIMARY,40.71,-73.99
10002,NY,PRIMARY,40.71,-73.99
10003,NY,PRIMARY,40.71,-73.99
10004,NY,PRIMARY,40.71,-73.99
10005,NY,PRIMARY,40.71,-73.99
10006,NY,PRIMARY,40.71,-73.99
10007,NY,PRIMARY,40.71,-73.99
10008,NY,PRIMARY,40.71,-73.99
10009,NY,PRIMARY,40.71,-73.99
10010,NY,PRIMARY,40.71,-73.99
10011,NY,PRIMARY,40.71,-73.99
10012,NY,PRIMARY,40.71,-73.99
10013,NY,PRIMARY,40.71,-73.99
10014,NY,PRIMARY,40.71,-73.99
10016,NY,PRIMARY,40.71,-73.99
10017,NY,PRIMARY,40.71,-73.99
10018,NY,PRIMARY,40.71,-73.99
10019,NY,PRIMARY,40.71,-73.99
10020,NY,PRIMARY,40.71,-73.99
10021,NY,PRIMARY,40.77,-73.95
10022,NY,PRIMARY,40.71,-73.99
10023,NY,PRIMARY,40.71,-73.99
10024,NY,PRIMARY,40.71,-73.99
10025,NY,PRIMARY,40.71,-73.99
10026,NY,PRIMARY,40.71,-73.99
10027,NY,PRIMARY,40.71,-73.99
10028,NY,PRIMARY,40.71,-73.99
10029,NY,PRIMARY,40.71,-73.99
10030,NY,PRIMARY,40.71,-73.99
10031,NY,PRIMARY,40.71,-73.99
10032,NY,PRIMARY,40.71,-73.99
10033,NY,PRIMARY,40.71,-73.99
10034,NY,PRIMARY,40.71,-73.99
10200,NY,PRIMARY,40.77,73.95
02478,MA,PRIMARY,42.39,-71.18
02479,MA,PRIMARY,42.39,-71.17
02445,MA,PRIMARY,42.32,-71.14
02446,MA,PRIMARY,42.32,-71.14
02447,MA,PRIMARY,42.33,-71.13
02420,MA,PRIMARY,42.44,-71.23
02421,MA,PRIMARY,42.44,-71.23
02492,MA,PRIMARY,42.28,-71.24
02494,MA,PRIMARY,42.28,-71.24
02456,MA,PRIMARY,42.33,-71.2
02458,MA,PRIMARY,42.33,-71.2
02459,MA,PRIMARY,42.31,-71.19
02460,MA,PRIMARY,42.35,-71.2
02461,MA,PRIMARY,42.31,-71.2
02462,MA,PRIMARY,42.33,-71.25
02464,MA,PRIMARY,42.31,-71.22
02465,MA,PRIMARY,42.35,-71.22
02466,MA,PRIMARY,42.34,-71.24
02467,MA,PRIMARY,42.31,-71.16
02468,MA,PRIMARY,42.32,-71.23
02495,MA,PRIMARY,42.33,-71.2
02451,MA,PRIMARY,42.38,-71.24
02452,MA,PRIMARY,42.38,-71.24
02453,MA,PRIMARY,42.38,-71.24
02454,MA,PRIMARY,42.38,-71.24
02455,MA,PRIMARY,42.39,-71.22
02471,MA,PRIMARY,42.36,-71.17
02472,MA,PRIMARY,42.36,-71.17
02477,MA,PRIMARY,42.36,-71.17
02457,MA,PRIMARY,42.29,-71.26
02481,MA,PRIMARY,42.31,-71.27
02482,MA,PRIMARY,42.3,-71.28
02493,MA,PRIMARY,42.36,-71.26
02184,MA,PRIMARY,42.2,-71
02185,MA,PRIMARY,42.2,-71
02186,MA,PRIMARY,42.24,-71.08
02187,MA,PRIMARY,42.26,-71.08
02169,MA,PRIMARY,42.26,-71
02170,MA,PRIMARY,42.26,-71
02171,MA,PRIMARY,42.26,-71
02269,MA,PRIMARY,42.26,-71
02188,MA,PRIMARY,42.2,-70.94
02189,MA,PRIMARY,42.2,-70.94
02190,MA,PRIMARY,42.2,-70.94
02191,MA,PRIMARY,42.2,-70.94
01718,MA,PRIMARY,42.51,-71.41
01719,MA,PRIMARY,42.5,-71.5
01720,MA,PRIMARY,42.48,-71.46
02474,MA,PRIMARY,42.41,-71.16
02475,MA,PRIMARY,42.41,-71.18
02476,MA,PRIMARY,42.41,-71.16
02150,MA,PRIMARY,42.39,-71.03
02149,MA,PRIMARY,42.4,-71.05
02152,MA,PRIMARY,42.37,-70.98
02151,MA,PRIMARY,42.41,-70.99
02148,MA,PRIMARY,42.43,-71.05
02176,MA,PRIMARY,42.45,-71.05
02153,MA,PRIMARY,42.42,-71.1
02155,MA,PRIMARY,42.42,-71.1
02156,MA,PRIMARY,42.42,-71.13
02143,MA,PRIMARY,42.39,-71.1
02144,MA,PRIMARY,42.39,-71.1
02145,MA,PRIMARY,42.39,-71.1
02180,MA,PRIMARY,42.47,-71.09
01913,MA,PRIMARY,42.85,-70.92
01810,MA,PRIMARY,42.65,-71.14
01812,MA,PRIMARY,42.65,-71.14
01899,MA,PRIMARY,42.65,-71.14
05501,MA,PRIMARY,42.65,-71.14
01586,MA,PRIMARY,42.19,-71.76
02054,MA,PRIMARY,42.16,-71.35
01529,MA,PRIMARY,42.03,-71.58
02350,MA,PRIMARY,42.02,-70.84
02553,MA,PRIMARY,41.71,-70.6
02554,MA,PRIMARY,41.27,-70.1
02564,MA,PRIMARY,41.27,-70
02584,MA,PRIMARY,41.27,-70.1
01760,MA,PRIMARY,42.28,-71.35
01531,MA,PRIMARY,42.31,-72.13
01950,MA,PRIMARY,42.81,-70.88
01951,MA,PRIMARY,42.8,-71
01952,MA,PRIMARY,42.83,-70.84
02056,MA,PRIMARY,42.11,-71.31
02351,MA,PRIMARY,42.11,-70.95
01862,MA,PRIMARY,42.57,-71.29
01532,MA,PRIMARY,42.31,-71.64
01534,MA,PRIMARY,42.15,-71.65
01535,MA,PRIMARY,42.27,-72.08
02355,MA,PRIMARY,41.91,-70.79
02650,MA,PRIMARY,41.7,-69.95
01863,MA,PRIMARY,42.63,-71.39
02651,MA,PRIMARY,41.84,-69.97
02356,MA,PRIMARY,42.05,-71.1
02357,MA,PRIMARY,42.05,-71.1
02556,MA,PRIMARY,41.64,-70.63
02565,MA,PRIMARY,41.63,-70.64
01536,MA,PRIMARY,42.23,-71.69
02059,MA,PRIMARY,42.1,-70.71
01537,MA,PRIMARY,42.16,-71.88
02358,MA,PRIMARY,42.09,-70.78
01864,MA,PRIMARY,42.56,-71.06
01889,MA,PRIMARY,42.56,-71.06
05544,MA,PRIMARY,42.65,-71.14
01430,MA,PRIMARY,42.63,-71.9
01431,MA,PRIMARY,42.68,-71.81
01721,MA,PRIMARY,42.25,-71.46
01501,MA,PRIMARY,42.2,-71.83
02322,MA,PRIMARY,42.11,-71.03
01432,MA,PRIMARY,42.56,-71.58
01434,MA,PRIMARY,42.53,-71.61
01436,MA,PRIMARY,42.6,-72.07
02630,MA,PRIMARY,41.7,-70.3
01730,MA,PRIMARY,42.48,-71.26
01731,MA,PRIMARY,42.46,-71.28
02019,MA,PRIMARY,42.09,-71.47
01503,MA,PRIMARY,42.38,-71.63
01915,MA,PRIMARY,42.55,-70.84
01821,MA,PRIMARY,42.55,-71.26
01822,MA,PRIMARY,42.55,-71.26
01504,MA,PRIMARY,42.01,-71.5
01740,MA,PRIMARY,42.43,-71.6
02108,MA,PRIMARY,42.35,-71.06
02109,MA,PRIMARY,42.35,-71.06
02110,MA,PRIMARY,42.35,-71.06
02111,MA,PRIMARY,42.35,-71.06
02112,MA,PRIMARY,42.35,-71.06
02113,MA,PRIMARY,42.35,-71.06
02114,MA,PRIMARY,42.35,-71.06
02115,MA,PRIMARY,42.35,-71.06
02116,MA,PRIMARY,42.35,-71.06
02117,MA,PRIMARY,42.35,-71.06
02118,MA,PRIMARY,42.35,-71.06
02119,MA,PRIMARY,42.35,-71.06
02120,MA,PRIMARY,42.35,-71.06
02121,MA,PRIMARY,42.35,-71.06
02122,MA,PRIMARY,42.35,-71.06
02123,MA,PRIMARY,42.35,-71.06
02124,MA,PRIMARY,42.35,-71.06
02125,MA,PRIMARY,42.35,-71.06
02126,MA,PRIMARY,42.26,-71.1
02127,MA,PRIMARY,42.35,-71.06
02128,MA,PRIMARY,42.35,-71.06
02129,MA,PRIMARY,42.38,-71.06
02130,MA,PRIMARY,42.3,-71.11
02131,MA,PRIMARY,42.28,-71.13
02132,MA,PRIMARY,42.28,-71.16
02133,MA,PRIMARY,42.35,-71.06
02134,MA,PRIMARY,42.35,-71.13
02135,MA,PRIMARY,42.35,-71.15
02136,MA,PRIMARY,42.26,-71.11
02137,MA,PRIMARY,42.25,-71.12
02163,MA,PRIMARY,42.35,-71.06
02196,MA,PRIMARY,42.35,-71.06
02199,MA,PRIMARY,42.35,-71.06
02201,MA,PRIMARY,42.35,-71.06
02203,MA,PRIMARY,42.35,-71.06
02204,MA,PRIMARY,42.35,-71.06
02205,MA,PRIMARY,42.35,-71.06
02206,MA,PRIMARY,42.35,-71.06
02210,MA,PRIMARY,42.35,-71.06
02211,MA,PRIMARY,42.35,-71.06
02212,MA,PRIMARY,42.35,-71.06
02215,MA,PRIMARY,42.35,-71.06
02217,MA,PRIMARY,42.35,-71.06
02222,MA,PRIMARY,42.35,-71.06
02228,MA,PRIMARY,42.35,-71.06
02241,MA,PRIMARY,42.35,-71.06
02266,MA,PRIMARY,42.35,-71.06
02283,MA,PRIMARY,42.35,-71.06
02284,MA,PRIMARY,42.35,-71.06
02293,MA,PRIMARY,42.35,-71.06
02295,MA,PRIMARY,42.35,-71.06
02297,MA,PRIMARY,42.35,-71.06
02298,MA,PRIMARY,42.34,-71.05
01921,MA,PRIMARY,42.67,-70.98
01505,MA,PRIMARY,42.35,-71.73
02020,MA,PRIMARY,42.08,-70.64
02631,MA,PRIMARY,41.76,-70.08
02324,MA,PRIMARY,41.98,-70.97
02325,MA,PRIMARY,41.98,-70.97
02301,MA,PRIMARY,42.08,-71.02
02302,MA,PRIMARY,42.08,-71.02
02303,MA,PRIMARY,42.08,-71.02
02304,MA,PRIMARY,42.08,-71.02
02305,MA,PRIMARY,42.08,-71.02
01506,MA,PRIMARY,42.21,-72.1
02327,MA,PRIMARY,42.06,-70.8
01803,MA,PRIMARY,42.5,-71.2
01805,MA,PRIMARY,42.5,-71.2
02532,MA,PRIMARY,41.75,-70.61
02542,MA,PRIMARY,41.75,-70.61
01922,MA,PRIMARY,42.75,-70.93
02138,MA,PRIMARY,42.37,-71.11
02139,MA,PRIMARY,42.37,-71.11
02140,MA,PRIMARY,42.37,-71.11
02141,MA,PRIMARY,42.37,-71.11
02142,MA,PRIMARY,42.37,-71.11
02238,MA,PRIMARY,42.37,-71.11
02021,MA,PRIMARY,42.15,-71.13
01741,MA,PRIMARY,42.53,-71.35
02330,MA,PRIMARY,41.88,-70.76
02534,MA,PRIMARY,41.66,-70.61
02632,MA,PRIMARY,41.66,-70.34
02634,MA,PRIMARY,41.66,-70.34
01507,MA,PRIMARY,42.13,-71.96
01509,MA,PRIMARY,42.13,-71.96
01508,MA,PRIMARY,42.13,-71.96
02633,MA,PRIMARY,41.67,-69.96
01824,MA,PRIMARY,42.59,-71.36
02535,MA,PRIMARY,41.34,-70.74
02552,MA,PRIMARY,41.34,-70.73
